,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
1054,CHELMSFORD MOBIL MART,95 CHELMSFORD ST,CHELMSFORD,"$267,519.25","$249,848.50","$267,519.25","$253,096.00","$307,962.75"
1055,CORNER CUPBOARD,149 GORHAM ST,CHELMSFORD,"$2,226,245.50","$2,627,855.75","$2,226,245.50","$1,944,537.50","$2,011,658.25"
1056,CUMBERLAND #3516,31 DRUM HILL RD,CHELMSFORD,"$1,529,776.75","$1,410,822.25","$1,529,776.75","$1,385,679.00","$1,312,635.50"
1057,DRUM HILL LIQUOR MART,85 PARKHURST RD,CHELMSFORD,"$409,430.25","$283,237.75","$409,430.25","$343,448.00","$327,242.25"
1058,DRUM HILL SUNOCO,100 DRUM HILL ROAD,CHELMSFORD,"$200,742.75","$239,037.25","$200,742.75","$163,615.25","$124,303.25"
1059,HANNAFORD #8191,662 DRUM HILL RD,CHELMSFORD,"$424,693.25","$319,587.50","$424,693.25","$836,514.25","$886,263.00"
1060,HEART POND MOBIL,371 ACTON RD,CHELMSFORD,"$495,690.00","$492,141.75","$495,690.00","$355,580.25","$204,740.25"
1061,KATES CORNER,321 ACTON ROAD,CHELMSFORD,"$340,973.00","$252,482.50","$340,973.00","$336,575.50","$373,678.50"
1062,LINCOLN LIQUORS,10 SUMMER ST,CHELMSFORD,"$184,712.00","$147,750.75","$184,712.00","$150,788.00","$87,461.50"
1063,MARKET BASKET #04,288 CHELMSFORD ST,CHELMSFORD,"$797,697.25","$609,661.50","$797,697.25","$734,511.25","$711,603.75"
1064,NEW WORLD GAS,269-273 LITTLETON ROAD,CHELMSFORD,"$1,523,709.50","$1,816,096.00","$1,523,709.50","$1,300,792.00","$1,391,684.50"
1065,R AND H GAS & CONVENIENCE,7 ACTON RD,CHELMSFORD,"$1,929,572.75","$1,748,012.25","$1,929,572.75","$1,797,326.00","$1,640,037.50"
1066,RUDY'S FUEL & AUTO SERVICE,8 LTTLETON RD,CHELMSFORD,"$20,592.50","$11,654.25","$20,592.50","$24,640.75","$23,494.75"
1067,STOP & SHOP #480,299 CHELMSFORD ST,CHELMSFORD,"$934,581.25","$888,283.75","$934,581.25","$915,600.00","$825,557.75"
1068,SUNOCO FOOD MART,80 CHELMSFORD ST,CHELMSFORD,"$1,204,752.75","$1,865,497.75","$1,204,752.75","$885,873.50","$837,308.75"
1069,VILLAGE SQUARE CONVENIENCE,14 FLETCHER ST,CHELMSFORD,"$1,359,048.25","$138,366.25","$1,359,048.25","$1,519,422.25","$1,572,585.50"
1070,WESTLAND WINE,229 CHELMSFORD ST,CHELMSFORD,"$386,114.50","$503,916.75","$386,114.50","$373,492.50","$299,554.75"
1071,7-ELEVEN 32429-A,115 BROADWAY,CHELSEA,"$1,477,154.75","$1,266,118.75","$1,477,154.75","$1,288,300.50","$1,251,639.25"
1072,7-ELEVEN 37436,936-942 BROADWAY,CHELSEA,"$1,680,311.75","$1,160,928.25","$1,680,311.75","$1,752,062.00","$341,693.25"
1073,7-ELEVEN 37436,936-942 BROADWAY,CHELSEA,"$1,680,311.75","$1,160,928.25","$1,680,311.75","$1,752,062.00","$1,421,451.75"
1074,BELLINGHAM FRUIT & PRODUCE,165 HAWTHORNE ST,CHELSEA,"$440,430.75","$435,463.25","$440,430.75","$478,476.50","$471,088.50"
1075,BROADWAY VARIETY II,469 EASTERN AVE,CHELSEA,"$550,629.50","$651,662.25","$550,629.50","$572,047.75","$566,185.00"
1076,CARIBBEAN LIQUORS,399 BROADWAY,CHELSEA,"$350,320.00","$263,452.75","$350,320.00","$88,172.00","$442,973.50"
1077,CARIBBEAN LIQUORS,399 BROADWAY,CHELSEA,"$350,320.00","$263,452.75","$350,320.00","$266,411.00","$442,973.50"
1078,CHELSEA FOOD MART,483 BROADWAY STREET,CHELSEA,"$1,027,132.25","$439,476.75","$1,027,132.25","$888,319.25","$43,044.50"
1079,CHELSEA FOOD MART,483 BROADWAY STREET,CHELSEA,"$1,027,132.25","$765,597.25","$1,027,132.25","$888,319.25","$43,044.50"
1080,CITY FOOD MART,571 BROADWAY,CHELSEA,"$996,929.00","$988,991.75","$996,929.00","$760,365.50","$721,359.75"
1081,CONGRESS MARKET,67 CONGRESS AVE,CHELSEA,"$853,635.75","$384,487.25","$853,635.75","$920,734.50","$723,310.75"
1082,CORNER MARKET,801-803 BROADWAY,CHELSEA,"$1,275,024.25","$1,185,409.75","$1,275,024.25","$1,145,114.00","$1,052,931.25"
1083,FAMILY FOOD MART,324 REVERE BEACH PKWY,CHELSEA,"$683,382.00","$1,027,432.25","$683,382.00","$220,473.00","$696,022.00"
1084,FAMILY FOOD MART,324 REVERE BEACH PKWY,CHELSEA,"$683,382.00","$1,027,432.25","$683,382.00","$421,063.25","$696,022.00"
1085,FAMILY MARKET,369 BROADWAY,CHELSEA,"$2,586,152.00","$2,617,522.50","$2,586,152.00","$2,436,879.75","$1,909,856.00"
1086,FERNANDEZ BROTHERS LIQUORS,77 WILLIAMS ST,CHELSEA,"$500,246.75","$571,315.75","$500,246.75","$373,992.00","$303,979.50"
1087,FINE MART #3,260-266 BROADWAY,CHELSEA,"$2,745,027.25","$2,851,157.50","$2,745,027.25","$2,614,953.25","$2,526,510.00"
1088,FLORAMO'S RESTAURANT,213 EVERETT AVE,CHELSEA,"$1,911,981.50","$1,286,666.00","$1,911,981.50","$1,781,274.75","$1,693,789.75"
1089,GRAB N GO,361 WASHINGTON AVE,CHELSEA,"$905,379.50","$1,001,596.00","$905,379.50","$943,559.75","$784,543.25"
1090,HELLER'S LIQUOR MART,429 BROADWAY,CHELSEA,"$753,189.00","$612,585.75","$753,189.00","$674,196.25","$428,119.75"
1091,JOHNNY'S III,54 WASHINGTON AVE,CHELSEA,"$1,075,788.25","$1,204,290.25","$1,075,788.25","$922,096.25","$898,270.50"
1092,JV MARKET,560 WASHINGTON AVENUE,CHELSEA,"$325,162.00","$359,965.50","$325,162.00","$332,788.50","$268,324.75"
1093,KHELSEA'S PIZZERIA,158 WASHINGTON AVE,CHELSEA,"$92,413.75","$80,057.50","$92,413.75","$97,482.25","$70,795.25"
1094,LA CENTRO AMERICANA MARKET,14 CENTRAL AVE,CHELSEA,"$667,394.25","$403,799.00","$667,394.25","$628,818.25","$658,121.50"
1095,LA CONSOLARENA MARKET,274 SPRUCE ST,CHELSEA,"$569,790.25","$420,022.75","$569,790.25","$527,830.75","$583,531.75"
1096,LUCKY VARIETY,141 ARLINGTON ST,CHELSEA,"$1,611,065.75","$1,689,523.00","$1,611,065.75","$981,441.25","$46,133.75"
1097,LUNAS MARKET,749 BROADWAY,CHELSEA,"$590,556.00","$176,490.00","$590,556.00","$532,071.75","$471,129.75"
1098,MARGOLIS PHARMACY,447 BROADWAY,CHELSEA,"$19,209.25","$3,100.00","$19,209.25","$20,126.75","$15,624.50"
1099,MARKET BASKET #32,170 EVERETT AVE,CHELSEA,"$1,643,455.25","$1,276,449.75","$1,643,455.25","$1,531,416.25","$1,427,662.75"
1100,MARKET DEL SOL,60 ADDISON ST,CHELSEA,"$1,262,581.50","$1,471,509.75","$1,262,581.50","$1,315,312.75","$1,206,549.75"
1101,MARLBORO MARKET,58 MARLBORO STREET,CHELSEA,"$676,481.50","$701,102.00","$676,481.50","$146,515.50","$268,273.25"
1102,MARLBORO MARKET,58 MARLBORO STREET,CHELSEA,"$676,481.50","$701,102.00","$676,481.50","$179,835.25","$268,273.25"
1103,NEW BROWN JUG,1014 REVERE BEACH PARKWAY,CHELSEA,"$671,425.75","$897,019.25","$671,425.75","$606,963.75","$590,235.50"
1104,ONE STOP LIQUORS,141 CENTRAL AVE,CHELSEA,"$1,010,036.75","$957,771.25","$1,010,036.75","$1,084,711.25","$1,015,982.25"
1105,ONE STOP MARKET,138 CENTRAL AVE,CHELSEA,"$1,962,591.00","$2,209,212.75","$1,962,591.00","$1,963,148.75","$2,028,279.50"
1106,ORION MARKET,233 BROADWAY,CHELSEA,"$528,275.00","$177,684.75","$528,275.00","$542,238.50","$427,206.75"
1107,ORION MARKET,233 BROADWAY,CHELSEA,"$528,275.00","$293,492.25","$528,275.00","$542,238.50","$427,206.75"
1108,PARK STREET MINI MARKET,104-106 PARK STREET,CHELSEA,"$2,315,313.25","$2,448,630.50","$2,315,313.25","$2,177,395.25","$1,554,186.75"
1109,PRATTVILLE MART,383C WASHINGTON AVENUE,CHELSEA,"$1,429,661.25","$1,366,886.50","$1,429,661.25","$1,535,335.75","$1,216,253.00"
1110,SABOR ESPECIAL II,390 BEACHAM STREET,CHELSEA,"$209,949.75","$247,058.25","$209,949.75","$182,718.00","$13,089.00"
1111,SHOP N GO,354 WASHINGTON AVE,CHELSEA,"$2,313,246.25","$2,058,441.50","$2,313,246.25","$2,376,122.50","$2,077,105.50"
1112,SPEEDWAY #2457,251 EVERETT AVE,CHELSEA,"$89,572.75","$137,867.00","$89,572.75","$124,430.75","$138,747.75"
1113,SULLYS VARIETY,890 BROADWAY,CHELSEA,"$1,931,954.25","$2,298,251.00","$1,931,954.25","$1,643,191.00","$1,594,424.75"
1114,THE CARD GALLERY,396 BROADWAY,CHELSEA,"$83,062.00","$7,229.00","$83,062.00","$78,452.00","$67,923.50"
1115,TIENDA ERIKA,434 BROADWAY,CHELSEA,"$934,814.25","$909,781.00","$934,814.25","$982,102.75","$932,665.25"
1116,VICENTINOS MEAT MARKET,84 WASHINGTON AVENUE,CHELSEA,"$364,481.00","$452,396.50","$364,481.00","$232,096.75",$372.25
1117,YOGI'S VARIETY,698 BROADWAY,CHELSEA,"$675,216.00","$774,872.00","$675,216.00","$648,476.25","$578,675.75"
1118,CHERRY VALLEY POST #443,167 MAIN ST,CHERRY VALLEY,"$421,355.75","$314,850.00","$421,355.75","$363,777.25","$373,309.50"
1119,ELLER'S,190 MAIN ST,CHERRY VALLEY,"$452,106.75","$368,692.50","$452,106.75","$498,986.00","$442,040.50"
1120,JAN'S BEER MART,385 MAIN ST,CHERRY VALLEY,"$522,389.00","$388,043.50","$522,389.00","$560,173.75","$471,007.50"
1121,AKSHAR JI,104 SOUTH ST,CHESHIRE,"$380,019.50","$148,341.00","$380,019.50","$384,701.75","$344,251.25"
1122,BASS WATER GRILL,287 SOUTH STATE ROAD,CHESHIRE,"$122,393.00","$88,749.00","$122,393.00","$102,636.00","$91,245.00"
1123,CONVENIENCE PLUS #3705,173 NORTH ST,CHESHIRE,"$1,113,667.00","$1,343,203.75","$1,113,667.00","$1,059,237.75","$1,016,052.75"
1124,STAR MKT 645,1 BOYLSTON ST,CHESTNUT HILL,"$805,474.00","$589,203.50","$805,474.00","$751,778.25","$740,403.00"
1125,WEGMANS #124,200 BOYLSTON ST,CHESTNUT HILL,"$529,806.25","$363,195.50","$529,806.25","$521,874.50","$500,443.00"
1126,AMERICAN LEGION POST 452,43 EXCHANGE ST,CHICOPEE,"$379,300.50","$352,282.75","$379,300.50","$467,024.25","$420,844.25"
1127,AMVETS POST #12,754 MONTGOMERY ST,CHICOPEE,"$393,881.25","$138,959.00","$393,881.25","$281,657.75","$265,327.25"
1128,ATLAS PUB,300 CAREW ST,CHICOPEE,"$609,389.75","$444,666.25","$609,389.75","$605,313.25","$546,641.25"
1129,AUDITORIUM PUB,52 GLADDU AVE,CHICOPEE,"$271,005.00",$12.00,"$271,005.00","$268,935.00","$225,562.00"
1130,BASICS PLUS MINI,190 EAST ST,CHICOPEE,"$1,130,548.25","$1,538,091.75","$1,130,548.25","$1,116,941.75","$1,192,401.50"
1131,BIG Y #52,650 MEMORIAL DRIVE,CHICOPEE,"$764,998.75","$658,658.75","$764,998.75","$821,379.25","$844,075.75"
1132,BJ'S WHOLESALE #20,650 MEMORIAL DR,CHICOPEE,"$242,867.25","$217,057.25","$242,867.25","$273,440.75","$284,809.50"
1133,BLUE ROOM CAFE,139 BROADWAY,CHICOPEE,"$65,065.50","$63,534.00","$65,065.50","$54,462.00","$76,363.00"
1134,BUFFALO ATHLETIC & SOCIAL CLUB,333 JAMES STREET,CHICOPEE,"$477,213.00","$268,585.25","$477,213.00","$395,768.25","$281,865.25"
1135,CABOT LIQUORS,220 EXCHANGE ST,CHICOPEE,"$326,054.75","$484,163.50","$326,054.75","$398,438.25","$353,002.50"
1136,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$177,542.00","$848,455.25","$177,542.00","$1,199,522.50","$97,982.25"
1137,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$177,542.00","$848,455.25","$177,542.00","$1,199,522.50","$1,046,099.00"
1138,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$177,542.00","$848,455.25","$746,591.50","$1,199,522.50","$97,982.25"
1139,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$177,542.00","$848,455.25","$746,591.50","$1,199,522.50","$1,046,099.00"
1140,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$746,591.50","$848,455.25","$177,542.00","$1,199,522.50","$97,982.25"
1141,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$746,591.50","$848,455.25","$177,542.00","$1,199,522.50","$1,046,099.00"
1142,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$746,591.50","$848,455.25","$746,591.50","$1,199,522.50","$97,982.25"
1143,CHICOPEE CONVENIENCE MART,201 EXCHANGE ST,CHICOPEE,"$746,591.50","$848,455.25","$746,591.50","$1,199,522.50","$1,046,099.00"
1144,CHICOPEE MOOSE FAM CTR,244 FULLER RD,CHICOPEE,"$487,330.50","$207,723.25","$487,330.50","$385,012.00","$331,008.00"
1145,CITYVIEW MINI MART,2041 MEMORIAL DRIVE,CHICOPEE,"$190,226.75","$224,503.50","$190,226.75","$257,904.75","$206,343.50"
1146,COLONIAL CAFE,550 CHICOPEE STREET,CHICOPEE,"$232,062.00","$149,531.00","$232,062.00","$216,224.75","$139,200.25"
1147,COPPER LINE EATERY,409 BROADWAY ST,CHICOPEE,"$1,162,735.75","$375,473.50","$1,162,735.75","$1,414,017.00","$1,545,370.50"
1148,CUMBERLAND #0156,37 MONTCALM AVE,CHICOPEE,"$958,278.00","$1,078,729.50","$958,278.00","$975,033.25","$880,056.00"
1149,CUMBERLAND #0195,1061 MEMORIAL DRIVE,CHICOPEE,"$1,589,562.25","$1,419,727.75","$1,589,562.25","$1,625,624.75","$1,484,831.50"
1150,DOCS PLACE,1264 GRANBY ROAD,CHICOPEE,"$518,600.75","$32,198.50","$518,600.75","$555,404.25","$476,025.50"
1151,DUGOUT CAFE/PIZZERIA,134 MEADOW ST,CHICOPEE,"$398,812.50","$510,139.00","$398,812.50","$416,207.25","$444,120.75"
1152,FLANAGAN'S PACKAGE,499 SPRINGFIELD ST,CHICOPEE,"$151,620.25","$11,522.25","$151,620.25","$239,857.25","$290,672.75"
1153,FLANAGAN'S PACKAGE,499 SPRINGFIELD ST,CHICOPEE,"$151,620.25","$109,866.75","$151,620.25","$239,857.25","$290,672.75"
1154,GALLAGHER CONVENIENCE,560 EAST STREET,CHICOPEE,"$845,481.25","$1,312,242.00","$845,481.25","$741,701.75","$14,405.25"
1155,GAWRON PROVISION,576 FULLER ROAD,CHICOPEE,"$18,339.50","$8,488.00","$18,339.50","$17,124.75","$20,209.50"
1156,GNOWS PLACE,1747 WESTOVER ROAD,CHICOPEE,"$349,709.00","$507,575.75","$349,709.00","$304,304.75","$280,737.25"
1157,HIGHLAND FARM,466 CHICOPEE ST,CHICOPEE,"$931,879.00","$1,401,506.25","$931,879.00","$1,124,216.25","$1,029,546.50"
1158,HONEYLAND FARMS,1296 MONTGOMERY ST,CHICOPEE,"$279,968.25","$363,029.25","$279,968.25","$299,633.00","$270,509.50"
1159,HONEYLAND FARMS,206 NEWBURY ST,CHICOPEE,"$1,699,358.00","$2,121,269.25","$1,699,358.00","$1,562,531.75","$1,258,956.75"
1160,JENROSE WINES & LIQUORS,945-947 CHICOPEE,CHICOPEE,"$484,444.00","$68,912.25","$484,444.00","$466,780.00","$412,144.25"
1161,JENROSE WINES & LIQUORS,945-947 CHICOPEE,CHICOPEE,"$484,444.00","$608,373.00","$484,444.00","$466,780.00","$412,144.25"
1162,JOCKOS PLACE,535 EAST ST,CHICOPEE,"$767,471.50","$1,322,328.25","$767,471.50","$644,598.00","$547,961.00"
1163,KAMY'S FOOD & FUEL,817 FRONT ST,CHICOPEE,"$592,203.75","$1,165,694.25","$592,203.75","$575,398.25","$467,938.50"
1164,KNIGHTS OF COLUMBUS,460 GRANBY RD,CHICOPEE,"$685,337.50","$204,670.00","$685,337.50","$743,530.50","$707,805.75"
1165,LIQUORS 44,1461 MEMORIAL DRIVE,CHICOPEE,"$311,751.25","$423,860.50","$311,751.25","$262,018.00","$136,261.00"
1166,LIQUORSHED,1345 BURNETT RD,CHICOPEE,"$165,484.75","$195,918.50","$165,484.75","$184,848.75","$197,651.25"
1167,LODGE OF ELKS #1849,431 GRANBY RD,CHICOPEE,"$259,797.50","$42,907.25","$259,797.50","$271,811.50","$239,681.25"
1168,MY BROTHERS PLACE,185 GROVE ST,CHICOPEE,"$504,801.00","$5,870.00","$504,801.00","$538,622.50","$469,414.25"
1169,NEW CORNER VARIETY,1175 GRATTAN ST,CHICOPEE,"$2,206,810.00","$2,992,898.75","$2,206,810.00","$2,478,496.00","$2,242,610.00"
1170,NEW CORNER VARIETY II,1875 MEMORIAL DR,CHICOPEE,"$3,073,792.50","$3,830,654.50","$3,073,792.50","$3,474,440.25","$3,827,163.25"
1171,PATTI'S FOUR -TEN LOUNGE,32 QUINCY AVE,CHICOPEE,"$453,270.00","$621,915.25","$453,270.00","$437,417.25","$358,844.00"
1172,PLAZA LIQUORS,591 D MEMORIAL DR,CHICOPEE,"$455,466.25","$419,813.25","$455,466.25","$475,610.00","$407,296.00"
1173,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$435,641.50","$366,557.00","$324,617.75"
1174,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$435,641.50","$366,557.00","$1,920,174.00"
1175,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$435,641.50","$2,047,094.25","$324,617.75"
1176,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$435,641.50","$2,047,094.25","$1,920,174.00"
1177,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$1,976,074.00","$366,557.00","$324,617.75"
1178,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$1,976,074.00","$366,557.00","$1,920,174.00"
1179,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$1,976,074.00","$2,047,094.25","$324,617.75"
1180,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$523,074.75","$1,976,074.00","$2,047,094.25","$1,920,174.00"
1181,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$435,641.50","$366,557.00","$324,617.75"
1182,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$435,641.50","$366,557.00","$1,920,174.00"
1183,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$435,641.50","$2,047,094.25","$324,617.75"
1184,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$435,641.50","$2,047,094.25","$1,920,174.00"
1185,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$1,976,074.00","$366,557.00","$324,617.75"
1186,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$1,976,074.00","$366,557.00","$1,920,174.00"
1187,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$1,976,074.00","$2,047,094.25","$324,617.75"
1188,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$435,641.50","$2,969,784.50","$1,976,074.00","$2,047,094.25","$1,920,174.00"
1189,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$435,641.50","$366,557.00","$324,617.75"
1190,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$435,641.50","$366,557.00","$1,920,174.00"
1191,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$435,641.50","$2,047,094.25","$324,617.75"
1192,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$435,641.50","$2,047,094.25","$1,920,174.00"
1193,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$1,976,074.00","$366,557.00","$324,617.75"
1194,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$1,976,074.00","$366,557.00","$1,920,174.00"
1195,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$1,976,074.00","$2,047,094.25","$324,617.75"
1196,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$523,074.75","$1,976,074.00","$2,047,094.25","$1,920,174.00"
1197,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$435,641.50","$366,557.00","$324,617.75"
1198,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$435,641.50","$366,557.00","$1,920,174.00"
1199,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$435,641.50","$2,047,094.25","$324,617.75"
1200,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$435,641.50","$2,047,094.25","$1,920,174.00"
1201,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$1,976,074.00","$366,557.00","$324,617.75"
1202,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$1,976,074.00","$366,557.00","$1,920,174.00"
1203,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$1,976,074.00","$2,047,094.25","$324,617.75"
1204,PRIDE STATION & STORE,167 CHICOPEE ST,CHICOPEE,"$1,976,074.00","$2,969,784.50","$1,976,074.00","$2,047,094.25","$1,920,174.00"
1205,PRIDE STATION & STORE,363 BURNETT ROAD,CHICOPEE,"$1,275,054.00","$1,625,967.00","$1,275,054.00","$1,270,170.75","$1,065,272.75"
1206,PRIDE STATION & STORE,27 MONTGOMERY ST,CHICOPEE,"$2,663,409.75","$3,361,555.50","$2,663,409.75","$2,688,699.25","$2,192,383.00"
1207,PRIME FOOD & FUEL,1869 MEMORIAL DRIVE,CHICOPEE,"$462,460.50","$584,121.00","$462,460.50","$489,882.25","$499,752.25"
1208,PULASKI CLUB,13 NORMAN ST,CHICOPEE,"$27,525.00","$10,228.00","$27,525.00","$71,657.00","$62,496.75"
1209,QT FOOD AND FUEL,646 GRATTAN STREET,CHICOPEE,"$352,294.50","$558,325.50","$352,294.50","$319,246.50",$838.25
1210,QUICK PICK CONVENIENCE,452 CHICOPEE ST,CHICOPEE,"$716,312.75","$860,638.25","$716,312.75","$833,809.75","$703,919.00"
1211,RED FEZ,70 EXCHANGE ST,CHICOPEE,"$757,938.50","$819,507.00","$757,938.50","$747,785.00","$866,225.25"
1212,SAMS CONVENIENCE STORE,147 BROADWAY ST,CHICOPEE,"$404,668.75","$551,424.75","$404,668.75","$592,609.25","$579,999.00"
1213,SAMS FOOD STORE,810 MEADOW ST,CHICOPEE,"$533,979.75","$319,326.00","$533,979.75","$646,177.50","$611,174.00"
1214,SAMS FOOD STORE,1031 CHICOPEE STREET,CHICOPEE,"$576,408.00","$901,317.25","$576,408.00","$576,252.75","$95,146.00"
1215,SHELL FOOD MART,197 GROVE STREET,CHICOPEE,"$799,734.75","$1,367,268.75","$799,734.75","$736,064.75","$208,202.25"
1216,SPEEDWAY #2408,1423 MEMORIAL DR,CHICOPEE,"$378,662.75","$444,582.50","$378,662.75","$392,316.75","$388,350.25"
1217,STOP & SHOP #036,672 MEMORIAL DRIVE,CHICOPEE,"$1,543,138.50","$1,266,688.75","$1,543,138.50","$1,605,047.25","$1,517,289.75"
1218,STOP N GO,643 PROSPECT ST,CHICOPEE,"$537,073.00","$672,172.50","$537,073.00","$682,505.25","$613,195.50"
1219,TD'S SPORTS PUB,699 GRATTAN ST,CHICOPEE,"$111,688.00","$129,793.50","$111,688.00","$117,293.00","$107,017.00"
1220,THE COLLEGIAN COURT,89 PARK ST,CHICOPEE,"$129,958.50","$66,737.50","$129,958.50","$133,763.00","$111,007.00"
1221,THE RUMBLESEAT,482 SPRINGFIELD STREET,CHICOPEE,"$299,966.50","$343,555.50","$299,966.50","$303,157.50","$280,875.00"
1222,TIGER ATHLETIC CLUB,14 MONTGOMERY ST,CHICOPEE,"$608,864.50","$521,069.00","$608,864.50","$590,820.50","$680,118.25"
1223,UNION MART,457 GRANBY ROAD,CHICOPEE,"$1,164,677.50","$174,811.00","$1,164,677.50","$1,079,390.00","$666,658.00"
1224,UNION MART,457 GRANBY ROAD,CHICOPEE,"$1,164,677.50","$1,817,575.75","$1,164,677.50","$1,079,390.00","$666,658.00"
1225,WESTOVER SUPERMART,1782 WESTOVER RD,CHICOPEE,"$2,583,142.75","$3,590,757.75","$2,583,142.75","$2,847,795.00","$1,630,252.50"
1226,WHITE EAGLE WINE & LIQUORS,620 FULLER RD,CHICOPEE,"$683,279.25","$861,597.50","$683,279.25","$711,615.50","$614,773.75"
1227,WYMAN PETROLEUM,451 GRATTAN ST,CHICOPEE,"$1,209,645.25","$1,398,864.00","$1,209,645.25","$1,307,720.25","$1,126,416.00"
1228,GOLDEN EAGLE REST,1935 MOHAWK TRAIL,CLARKSBURG,"$43,524.00","$45,503.00","$43,524.00","$46,562.25","$40,161.00"
1229,ALI'S QUICK MART,203 BROOK ST,CLINTON,"$1,454,097.50","$1,707,316.75","$1,454,097.50","$911,032.00","$811,142.50"
1230,APPLE COUNTRY MARKET,159 MECHANIC ST,CLINTON,"$2,203,377.75","$2,357,415.75","$2,203,377.75","$2,153,901.75","$2,180,117.50"
1231,BREAK-AWAY BILLIARDS,104 STERLING STREET,CLINTON,"$757,741.50","$594,417.00","$757,741.50","$692,215.00","$632,558.50"
1232,BROTHERS BEER & WINE,1044 MAIN STREET,CLINTON,"$406,927.00","$461,272.75","$406,927.00","$392,508.25","$12,633.75"
1233,CLINTON ELKS #1306,128 SCHOOL ST,CLINTON,"$244,994.50","$1,984.00","$244,994.50","$296,105.75","$222,042.00"
1234,CLINTON GOURMET RESTAURANT,1075 MAIN STREET,CLINTON,"$404,536.00","$43,806.00","$404,536.00","$387,026.00","$310,738.50"
1235,CLINTON TURN VEREIN,60 BRANCH STREET,CLINTON,"$210,209.00","$145,547.00","$210,209.00","$192,602.00","$202,767.25"
1236,CRYSTAL CAFE,343 MAIN ST,CLINTON,"$557,579.00","$742,781.50","$557,579.00","$472,207.00","$484,405.50"
1237,CUMBERLAND #0221,2 CAMERON ST,CLINTON,"$896,809.25","$894,319.00","$896,809.25","$895,814.75","$926,182.75"
