,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
42,RED WHITE AND BREW WINE,578 MASS AVE,ACTON,"$145,485.25","$239,711.25","$145,485.25","$100,769.00","$87,091.75"
43,ROCHE BROS #112,387 MASS AVE,ACTON,"$269,598.50","$322,361.00","$269,598.50","$228,024.00","$249,200.50"
44,STOP & SHOP #460,100 POWDER MILL RD,ACTON,"$476,354.75","$283,340.75","$476,354.75","$516,800.75","$467,093.75"
45,TOWN LINE CONVENIENCE,37 MAIN ST,ACTON,"$954,732.25","$1,073,498.25","$954,732.25","$1,035,611.25","$943,913.00"
46,WEST ACTON MOBIL,553 MASSACHUSETTS AVE,ACTON,"$962,129.50","$1,098,318.00","$962,129.50","$901,221.25","$980,265.75"
47,BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$76,924.00","$631,152.50","$76,924.00","$435,125.00","$98,192.00"
48,BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$76,924.00","$631,152.50","$303,711.25","$435,125.00","$98,192.00"
49,BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$303,711.25","$631,152.50","$76,924.00","$435,125.00","$98,192.00"
50,BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$303,711.25","$631,152.50","$303,711.25","$435,125.00","$98,192.00"
51,CUMBERLAND #2233,176 SOUTH MAIN ST,ACUSHNET,"$910,591.25","$730,834.75","$910,591.25","$972,185.75","$907,188.25"
52,JASON'S VARIETY,270 N MAIN ST,ACUSHNET,"$867,072.25","$962,221.00","$867,072.25","$787,382.75","$786,860.75"
53,PARTING WAYS SERVICE,121 MAIN ST,ACUSHNET,"$284,164.50","$269,987.00","$284,164.50","$309,046.25","$335,771.25"
54,PONDEROSA,242 ROBINSON RD,ACUSHNET,"$166,852.00","$428,103.75","$166,852.00","$205,869.00","$173,432.00"
55,RIVERS END CAFE,7 TARKILN HILL ROAD,ACUSHNET,"$226,961.00","$234,256.25","$226,961.00","$225,959.50","$220,060.50"
56,SCUTTLEBUTTS,590 MAIN ST,ACUSHNET,"$498,428.25","$884,778.00","$498,428.25","$452,208.75","$417,079.00"
57,THOMAS E TUTTLE POST 7239 VFW,28 ROOSEVELT ST,ACUSHNET,"$237,406.50","$18,336.00","$237,406.50","$212,438.25","$202,764.00"
58,TOWN LIQUORS,1 MIDDLE RD,ACUSHNET,"$245,632.00","$381,513.50","$245,632.00","$251,876.00","$236,878.50"
59,ADAMS TURNERS,6 TURNERS AVE,ADAMS,"$71,486.00","$24,233.00","$71,486.00","$73,084.00","$90,242.00"
60,AJ'S TRAILSIDE PUB,12 PLEASANT STREET,ADAMS,"$592,586.50","$524,794.00","$592,586.50","$497,455.00","$149,855.00"
61,CUMBERLAND #6690,46 COMMERCIAL ST,ADAMS,"$1,612,205.00","$1,855,736.00","$1,612,205.00","$1,530,029.25","$1,319,852.00"
62,FOREST PARK COUNTRY CLUB,41 FOREST PARK AVE,ADAMS,"$47,240.00","$39,032.00","$47,240.00","$34,837.00","$26,445.00"
63,O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$443,816.25","$261,540.75","$443,816.25","$414,785.75","$316,653.75"
64,O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$443,816.25","$290,735.50","$443,816.25","$414,785.75","$316,653.75"
65,POLISH NATIONAL ALLIANCE,13 VICTORY ST,ADAMS,"$83,377.00",$600.00,"$83,377.00","$71,661.00","$114,422.00"
66,THE MOUNTAIN CLUB,6 ANTHONY STREET,ADAMS,"$350,858.50","$68,807.50","$350,858.50","$296,997.00","$363,254.50"
67,THE VIKING PUB,83 COMMERCIAL ST,ADAMS,"$189,086.50","$150,496.00","$189,086.50","$196,719.00","$178,561.50"
68,BUCCANEERS LOUNGE,84-86 MAPLE ST,AGAWAM,"$872,397.50","$428,577.50","$872,397.50","$836,776.50","$780,488.00"
69,CHEERS DISCOUNT,416 SPRINGFIELD ST,AGAWAM,"$272,144.00","$312,835.50","$272,144.00","$292,896.75","$243,802.50"
70,CITGO FOOD MART,650 SUFFIELD STREET,AGAWAM,"$1,705,012.50","$2,340,578.75","$1,705,012.50","$1,598,981.50","$1,314,453.75"
71,CUMBERLAND #0201,837 SUFFIELD ST,AGAWAM,"$798,267.00","$1,005,698.50","$798,267.00","$804,554.00","$777,789.75"
72,EZ MART,1672 MAIN ST,AGAWAM,"$108,163.50","$141,267.75","$108,163.50","$91,143.00","$67,445.75"
73,FERRENTINO PIZZARIA & PUB,1676 MAIN STREET,AGAWAM,"$327,285.50","$515,917.00","$327,285.50","$358,576.50","$382,807.25"
74,GEISSLER'S SUPERMARKET,830 SUFFIELD ST,AGAWAM,"$608,324.00","$654,001.75","$608,324.00","$600,386.00","$563,841.50"
75,GOODIES CONVENIENCE,300 SPRINGFIELD ST,AGAWAM,"$1,001,379.75","$1,384,729.25","$1,001,379.75","$1,225,024.25","$1,075,860.25"
76,KAPTAIN JIMMYS,916 SUFFIELD STREET,AGAWAM,"$305,887.50","$211,033.00","$305,887.50","$326,072.75","$352,769.00"
77,MC CARTHYS LIQUORS,430 MAIN ST,AGAWAM,"$117,267.00","$108,384.75","$117,267.00","$108,513.50","$95,206.00"
78,MURPHY'S PUB,664 SUFFIELD STREET,AGAWAM,"$352,521.00","$236,863.75","$352,521.00","$339,098.00","$353,871.00"
79,ONE STOP MART,308 SUFFIELD STREET,AGAWAM,"$1,033,961.75","$1,439,588.25","$1,033,961.75","$791,676.00","$952,939.75"
80,QUICK PIC,1 RIVER RD,AGAWAM,"$1,037,885.50","$1,777,801.75","$1,037,885.50","$1,064,092.50","$1,006,126.00"
81,RIVERBOAT BAR & GRILL,11-13 SOUTH END CIR,AGAWAM,"$738,442.00","$490,887.00","$738,442.00","$893,476.00","$936,738.75"
82,RIVERSIDE LIQUORS,1811 MAIN STREET,AGAWAM,"$122,039.25","$212,654.25","$122,039.25","$113,784.50","$107,403.75"
83,SCOREBOARD BAR & RESTAURANT,15 KING ST,AGAWAM,"$499,780.50","$651,656.75","$499,780.50","$572,347.50","$558,014.25"
84,SOUTHBRIDGE CONV,1 SOUTH BRIDGE RD,AGAWAM,"$615,683.50","$1,061,657.00","$615,683.50","$867,293.50","$651,221.25"
85,SOUTHGATE LIQUORS,842 SUFFIELD ST,AGAWAM,"$309,191.50","$499,745.75","$309,191.50","$324,372.50","$314,590.50"
86,THE DAIRY STORE,335 SUFFIELD ST,AGAWAM,"$2,364,461.00","$2,057,849.50","$2,364,461.00","$2,732,036.75","$2,324,015.25"
87,THE STILL,63 SPRINGFIELD ST,AGAWAM,"$427,048.50","$534,850.00","$427,048.50","$444,520.25","$468,983.50"
88,TOWNE LIQUORS,384 WALNUT ST,AGAWAM,"$197,695.25","$241,837.25","$197,695.25","$243,324.75","$223,495.25"
89,7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$1,060,501.75","$1,186,045.50","$1,060,501.75","$252,170.00","$710,979.25"
90,7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$1,060,501.75","$1,186,045.50","$1,060,501.75","$510,287.75","$710,979.25"
91,ALLSTON CAR WASH,434 CAMBRIDGE ST,ALLSTON,"$261,801.25","$219,153.25","$261,801.25","$240,717.25","$175,277.25"
92,ALLSTON CONVENIENCE,165 ALLSTON ST,ALLSTON,"$369,382.50","$532,714.25","$369,382.50","$387,229.50","$494,199.50"
93,ALLSTON GULF,198 WESTERN AVENUE,ALLSTON,"$1,060,498.75","$718,482.50","$1,060,498.75","$1,064,146.50","$1,115,876.75"
94,ALLSTON MARKET,169 HARVARD AVE,ALLSTON,"$930,429.00","$730,234.75","$930,429.00","$947,332.00","$1,189,373.50"
95,LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$323,648.00","$124,218.25","$323,648.00","$359,679.25","$389,128.25"
96,LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$323,648.00","$188,939.50","$323,648.00","$359,679.25","$389,128.25"
97,MAYFAIR FOODS INC,506 CAMBRIDGE ST,ALLSTON,"$399,780.75","$372,668.75","$399,780.75","$355,926.50","$282,425.25"
98,NEIGHBORHOOD MARKET,57 FRANKLIN ST,ALLSTON,"$738,314.25","$487,401.00","$738,314.25","$720,156.00","$633,744.75"
99,QUALITY LIQUORS,489 CAMBRIDGE ST,ALLSTON,"$305,538.50","$303,035.00","$305,538.50","$318,825.50","$259,443.50"
100,REGINA PIZZERIA,353 CAMBRIDGE STREET,ALLSTON,"$293,110.50","$4,867.00","$293,110.50","$290,233.25","$323,637.00"
101,SILHOUETTE LOUNGE,200 BRIGHTON AVE,ALLSTON,"$131,047.25","$9,234.50","$131,047.25","$132,125.00","$111,377.00"
